ts,org,membership,capability_merged,ecosystem_merged,fa_raw,fa_adj
20260912_0233,ZAI,INCLUDED,0.6536,0.5816,62.48,63.54
20260913_0233,ANTH,INCLUDED,0.8976,0.3017,65.92,68.87
20260913_0233,DS,INCLUDED,0.7143,0.8325,76.16,78.1
20260913_0233,GDM,INCLUDED,0.7684,0.7378,75.62,77.78
20260913_0233,KIMI,INCLUDED,0.6676,0.3526,54.16,55.04
20260913_0233,MAI,INCLUDED,0.6896,0.4426,59.08,60.48
20260913_0233,MIST,SHADOW,0.4771,0.4412,46.27,46.72
20260913_0233,MM,INCLUDED,0.4947,0.4858,49.12,50.11
20260913_0233,OAI,INCLUDED,0.863,0.4787,70.93,72.91
20260913_0233,QWEN,INCLUDED,0.7753,0.5693,69.29,70.53
20260913_0233,XAI,INCLUDED,0.7026,0.2956,53.98,54.9
20260913_0233,YI,SHADOW,0.669,0.2108,48.57,48.8
20260913_0233,ZAI,INCLUDED,0.654,0.5809,62.47,63.7
